iteration,total_remain,remain_fraction,assigned_fraction,assigned_delta,progress_rel_pct,stagnant_iterations,stagnant_limit,initial_isolated_flow,non_allocated_flow,run
98,5608506.360020542,0.17772965551959313,0.8222703444804069,29134.48736378178,0.09232516,0,3,0.0,0.0,goal6_probe_2m
99,5517009.099550378,0.17483017113988938,0.8251698288601106,91497.26047016401,0.28994844,0,3,0.0,61802.21840906648,goal6_probe_2m
100,5488562.968321653,0.17392873307784396,0.826071266922156,28446.131228724495,0.09014381,0,3,0.0,0.0,goal6_probe_2m
101,5459097.625408891,0.1729949969082673,0.8270050030917326,29465.342912762426,0.09337362,0,3,0.0,0.0,goal6_probe_2m
102,5430397.1527210735,0.1720854989427454,0.8279145010572546,28700.47268781718,0.0909498,0,3,0.0,0.0,goal6_probe_2m
103,5399869.1708500935,0.17111808848560228,0.8288819115143977,30527.981870980002,0.09674105,0,3,0.0,0.0,goal6_probe_2m
104,5123861.951824038,0.16237161218522736,0.8376283878147727,276007.2190260552,0.87464763,0,3,0.0,237755.4725348213,goal6_probe_2m
105,5085375.237536245,0.16115199504772884,0.8388480049522712,38486.714287793264,0.12196171,0,3,0.0,0.0,goal6_probe_2m
106,5056153.626511343,0.16022598257171475,0.8397740174282853,29221.611024902202,0.09260125,0,3,0.0,0.0,goal6_probe_2m
107,4877501.676235719,0.1545646268484284,0.8454353731515716,178651.95027562417,0.56613557,0,3,0.0,144574.60320738435,goal6_probe_2m
108,4842645.711390897,0.15346006562891493,0.8465399343710851,34855.96484482195,0.11045612,0,3,0.0,3834.483308809854,goal6_probe_2m
109,4809523.7767275395,0.15241045461664546,0.8475895453833545,33121.93466335721,0.1049611,0,3,0.0,0.0,goal6_probe_2m
110,4781540.496033449,0.15152368396527893,0.8484763160347211,27983.28069409076,0.08867707,0,3,0.0,0.0,goal6_probe_2m
111,4755010.845341402,0.15068297783500445,0.8493170221649955,26529.65069204662,0.08407061,0,3,0.0,0.0,goal6_probe_2m
112,4541080.78825008,0.1439036835075236,0.8560963164924764,213930.0570913218,0.67792943,0,3,0.0,191759.3545795242,goal6_probe_2m
113,4518426.66540522,0.1431857901521703,0.8568142098478297,22654.122844859958,0.07178934,0,3,0.0,0.0,goal6_probe_2m
114,4478218.262201749,0.14191161389353452,0.8580883861064654,40208.403203471564,0.12741763,0,3,0.0,0.0,goal6_probe_2m
115,4446220.8580660485,0.14089763846950765,0.8591023615304924,31997.404135700315,0.10139754,0,3,0.0,239.61924142284514,goal6_probe_2m
116,4416056.883227982,0.1399417631414013,0.8600582368585987,30163.974838066846,0.09558753,0,3,0.0,0.0,goal6_probe_2m
117,4367313.199795544,0.1383971098042922,0.8616028901957078,48743.68343243748,0.15446533,0,3,0.0,20588.588825602335,goal6_probe_2m
1,13120186.87067322,0.4157695727154172,0.5842304272845829,18436203.331197225,58.42304273,0,3,0.0,16772368.11844506,goal8_reconv_2m
2,12682290.37856258,0.4018929382426737,0.5981070617573263,437896.4921106398,1.38766345,0,3,0.0,0.0,goal8_reconv_2m
3,12299583.022876205,0.38976520901768535,0.6102347909823147,382707.3556863759,1.21277292,0,3,0.0,0.0,goal8_reconv_2m
4,12070019.184764003,0.3824904910716959,0.617509508928304,229563.83811220154,0.72747179,0,3,0.0,0.0,goal8_reconv_2m
5,11856172.321519261,0.37571383309919887,0.6242861669008011,213846.86324474216,0.6776658,0,3,0.0,0.0,goal8_reconv_2m
6,11617660.049193367,0.3681555455130685,0.6318444544869315,238512.27232589386,0.75582876,0,3,0.0,201.05594148008126,goal8_reconv_2m
7,11404568.647943672,0.36140282760438147,0.6385971723956185,213091.40124969557,0.67527179,0,3,0.0,0.0,goal8_reconv_2m
8,11265753.152469112,0.3570038613542327,0.6429961386457673,138815.4954745602,0.43989663,0,3,0.0,0.0,goal8_reconv_2m
9,11129077.594126543,0.3526727082195354,0.6473272917804647,136675.55834256858,0.43311531,0,3,0.0,0.0,goal8_reconv_2m
10,10996151.44267319,0.34846037117455014,0.6515396288254498,132926.15145335346,0.4212337,0,3,0.0,0.0,goal8_reconv_2m
11,10840121.822759373,0.3435159013249993,0.6564840986750007,156029.61991381645,0.49444698,0,3,0.0,0.0,goal8_reconv_2m
12,10084191.375347877,0.319560992586209,0.6804390074137909,755930.4474114962,2.39549087,0,3,0.0,607470.1843427344,goal8_reconv_2m
13,9943511.510109695,0.3151029457583485,0.6848970542416515,140679.86523818225,0.44580468,0,3,0.0,12413.503640159366,goal8_reconv_2m
14,9821032.482006282,0.3112216707671378,0.6887783292328622,122479.02810341306,0.3881275,0,3,0.0,0.0,goal8_reconv_2m
15,9698683.383561324,0.3073445131561985,0.6926554868438015,122349.09844495729,0.38771576,0,3,0.0,5598.420213127459,goal8_reconv_2m
16,9377321.282741005,0.2971607722794851,0.7028392277205149,321362.1008203197,1.01837409,0,3,0.0,219448.06311212637,goal8_reconv_2m
17,9245497.661462743,0.2929833736469114,0.7070166263530886,131823.62127826177,0.41773986,0,3,0.0,13552.468460005097,goal8_reconv_2m
18,9132425.224671954,0.289400186974816,0.710599813025184,113072.43679078855,0.35831867,0,3,0.0,8528.269934898542,goal8_reconv_2m
19,9043308.5544055,0.2865761418385897,0.7134238581614103,89116.67026645504,0.28240451,0,3,0.0,25.321758967163902,goal8_reconv_2m
20,8951547.518124547,0.2836682985873832,0.7163317014126168,91761.0362809524,0.29078433,0,3,0.0,0.0,goal8_reconv_2m
21,8851896.141895717,0.28051041596546916,0.7194895840345308,99651.37622882985,0.31578826,0,3,0.0,0.0,goal8_reconv_2m
22,8769376.004890528,0.27789541036827337,0.7221045896317266,82520.13700518943,0.26150056,0,3,0.0,0.0,goal8_reconv_2m
23,8680062.981595283,0.2750651429414893,0.7249348570585107,89313.0232952442,0.28302674,0,3,0.0,6733.776202760496,goal8_reconv_2m
24,8600950.204523785,0.2725581142045077,0.7274418857954923,79112.77707149833,0.25070287,0,3,0.0,0.0,goal8_reconv_2m
25,8282696.739679674,0.26247288383410766,0.7375271161658923,318253.46484411135,1.00852304,0,3,0.0,234575.16828562756,goal8_reconv_2m
26,8088038.168708515,0.25630428946301853,0.7436957105369815,194658.57097115833,0.61685944,0,3,0.0,114939.78380979385,goal8_reconv_2m
27,8019342.248409187,0.25412736365306793,0.7458726363469321,68695.92029932793,0.21769258,0,3,0.0,0.0,goal8_reconv_2m
28,7922468.330961109,0.2510574967630859,0.7489425032369141,96873.91744807828,0.30698669,0,3,0.0,0.0,goal8_reconv_2m
29,7830512.581308227,0.24814348318090415,0.7518565168190958,91955.7496528821,0.29140136,0,3,0.0,260.7276327107596,goal8_reconv_2m
30,7760211.090490833,0.24591567796086275,0.7540843220391372,70301.49081739411,0.22278052,0,3,0.0,0.0,goal8_reconv_2m
31,7684086.422729723,0.24350334032420257,0.7564966596757974,76124.66776110977,0.24123376,0,3,0.0,170.60207247096375,goal8_reconv_2m
32,7610546.559921454,0.24117291335401295,0.7588270866459871,73539.86280826945,0.2330427,0,3,0.0,0.0,goal8_reconv_2m
33,7541876.56116218,0.23899680897959055,0.7610031910204095,68669.99875927344,0.21761044,0,3,0.0,0.0,goal8_reconv_2m
34,7191771.665257703,0.2279022289701283,0.7720977710298718,350104.8959044777,1.109458,0,3,0.0,288074.1169232579,goal8_reconv_2m
35,7125538.043226359,0.2258033316752338,0.7741966683247662,66233.62203134317,0.20988973,0,3,0.0,0.0,goal8_reconv_2m
36,7059899.752272722,0.22372330000704435,0.7762766999929557,65638.2909536371,0.20800317,0,3,0.0,182.3887386936996,goal8_reconv_2m
37,6982438.10148685,0.22126859431065965,0.7787314056893404,77461.65078587271,0.24547057,0,3,0.0,0.0,goal8_reconv_2m
38,6928244.653233188,0.21955124172669882,0.7804487582733012,54193.448253661394,0.17173526,0,3,0.0,182.92184705640818,goal8_reconv_2m
39,6845938.327146273,0.21694301164840446,0.7830569883515955,82306.3260869151,0.26082301,0,3,0.0,0.0,goal8_reconv_2m
40,6768554.775017036,0.21449078084398734,0.7855092191560127,77383.55212923698,0.24522308,0,3,0.0,300.3281485891495,goal8_reconv_2m
41,6705245.831404417,0.2124845645686903,0.7875154354313096,63308.9436126193,0.20062163,0,3,0.0,4971.953136578445,goal8_reconv_2m
42,6620573.311945617,0.20980135147247952,0.7901986485275205,84672.51945879962,0.26832131,0,3,0.0,25743.434563226674,goal8_reconv_2m
43,6560109.218235691,0.20788528650677443,0.7921147134932256,60464.09370992612,0.1916065,0,3,0.0,0.0,goal8_reconv_2m
44,6487485.326369466,0.20558388601699606,0.7944161139830039,72623.89186622482,0.23014005,0,3,0.0,0.0,goal8_reconv_2m
45,6415300.199262932,0.20329638967648458,0.7967036103235154,72185.12710653432,0.22874963,0,3,0.0,0.0,goal8_reconv_2m
46,6325622.076529592,0.20045455250310534,0.7995454474968946,89678.12273333967,0.28418372,0,3,0.0,13377.190782014633,goal8_reconv_2m
47,6081916.355164833,0.1927316881385272,0.8072683118614727,243705.7213647589,0.77228644,0,3,0.0,173556.03487854917,goal8_reconv_2m
48,6021661.074033175,0.19082224029781428,0.8091777597021858,60255.2811316587,0.19094478,0,3,0.0,0.0,goal8_reconv_2m
49,5959621.531228075,0.188856250448905,0.811143749551095,62039.54280509986,0.19659898,0,3,0.0,0.0,goal8_reconv_2m
50,5858481.195758449,0.18565118374695927,0.8143488162530408,101140.33546962589,0.32050667,0,3,0.0,36506.50957429165,goal8_reconv_2m
51,5802280.475994474,0.18387022212858503,0.8161297778714149,56200.71976397466,0.17809616,0,3,0.0,0.0,goal8_reconv_2m
